Domain,Website,Business name (G99),Clinic name (G99),Specialization,Reason not added,Category,Possible base-domain match,G99 clinic rows,G99 clinic ids
calhounhealthandspine.com,https://calhounhealthandspine.com,Calhoun Health & Spine,Calhoun Health &amp; Spine,Medical Aesthetics,Duplicate of: Calhoun Health & Spine,Alternate domain of a clinic already in the DB,,1,7104
charissfamilyclinic.com,https://charissfamilyclinic.com,Chariss Family Medical Clinic,Chariss Family Medical Clinic,Medical Aesthetics,Duplicate of: Chariss Family Medical Clinic,Alternate domain of a clinic already in the DB,,1,543
chiweilinmd.com,https://chiweilinmd.com,"CHI-WHEI LIN, MD, INC","CHI-WHEI LIN, MD, INC",Medical Aesthetics,"Duplicate of: CHI-WHEI LIN, MD, INC",Alternate domain of a clinic already in the DB,,1,4600
coastalglo.net,https://coastalglo.net,Coastal Glo,Coastal Glo,Medical Aesthetics,Duplicate of: Coastal Glo,Alternate domain of a clinic already in the DB,,1,5232
colleenmaherartistry.com,https://colleenmaherartistry.com,Colleen Maher Artistry,Colleen Maher Artistry,Medical Aesthetics,Duplicate of: Colleen Maher Artistry,Alternate domain of a clinic already in the DB,,1,1947
coreaestheticstraining.com,https://coreaestheticstraining.com,Core Aesthetics Training Institute,Core Aesthetics Training Institute,Medical Aesthetics,Aesthetics training institute — not a patient-facing clinic,Not a medspa / no usable data,,1,761
corlettexpress.com,https://corlettexpress.com,Corlett Express Trucking,Corlett Express Trucking,Medical Aesthetics,Freight / delivery company — not a medical spa,Not a medspa / no usable data,,1,1970
courses.myaestheticinstitute.com,https://courses.myaestheticinstitute.com,My Aesthetic Institute ,My Aesthetic Institute ,Medical Aesthetics,Aesthetic-medicine training school for professionals — not a patient clinic,Not a medspa / no usable data,,1,619
covecreek.com,https://covecreek.com,Cove Creek Partners,Cove Creek Partners,Medical Aesthetics,"Empty site — no text, services, or contact to extract",Not a medspa / no usable data,,1,1752
deeplyvitalmedical.com,https://deeplyvitalmedical.com,Deeply Vital Medical,Deeply Vital Medical,Medical Aesthetics,Website returned almost no content — insufficient data to add,Not a medspa / no usable data,,1,3079
dpmedspa.com,https://dpmedspa.com,Delta Phoenix Aesthetic Medicine (DBA),"Delta Phoenix Aesthetic Medicine (DBA) -  Memphis, TN",Medical Aesthetics,"Duplicate of: deltaphoenix.org — Delta Phoenix Medical Aesthetics (G99 row said Memphis, TN; that location is present)",Alternate domain of a clinic already in the DB,,1,4710
drgrossman.com,https://drgrossman.com,"Leonard Grossman, MD","Leonard Grossman, MD",Medical Aesthetics,"Surgical plastic-surgery practice only (liposuction, facelifts) — no medspa menu",Not a medspa / no usable data,,1,835
drjosephfield.com,https://drjosephfield.com,Joseph Field DDS,Joseph Field DDS - Los Altos,Medical Aesthetics,Cosmetic dentistry practice — not a medspa,Not a medspa / no usable data,,2,"1727, 9349"
drpravinsuryawanshi.com,https://drpravinsuryawanshi.com,Dr Pravin Suryawanshi,Dr Pravin Suryawanshi,Medical Aesthetics,Duplicate of: Dr Pravin Suryawanshi,Alternate domain of a clinic already in the DB,,1,1972
edenmedspatx.com,https://edenmedspatx.com,Eden Medical Spa,Eden Medical Spa,Medical Aesthetics,Duplicate of: Eden Medical Spa,Alternate domain of a clinic already in the DB,,1,644
elev8wellnesscenter.com,https://elev8wellnesscenter.com,Elev8 Wellness Center,Elev8 Wellness Center,Medical Aesthetics,"Recovery therapies (cryotherapy, float, hydromassage) + weight mgmt — not aesthetic",Not a medspa / no usable data,,1,5159
emmeskinclinic.com,https://emmeskinclinic.com,EMME SKIN STUDIO,EMME Skin Clinic,Medical Aesthetics,Duplicate of: EMME SKIN STUDIO,Alternate domain of a clinic already in the DB,,1,1400
equilibrium-handtherapy.com,https://equilibrium-handtherapy.com,Equilibrium Lymphatic Therapy,Equilibrium Lymphatic Therapy,Medical Aesthetics,Hand therapy & lymphatic/prenatal massage clinic — not a medspa,Not a medspa / no usable data,,1,5160
essencemedspa.com,https://essencemedspa.com,Essence Med Spa,Essence Med Spa - Grand island,Medical Aesthetics,Duplicate of: Essence Med Spa,Alternate domain of a clinic already in the DB,,1,1865
essencemedspa.net,https://essencemedspa.net,Essence Med Spa,Essence Med Spa - Hastings,Medical Aesthetics,Duplicate of: Essence Med Spa,Alternate domain of a clinic already in the DB,,1,1805
faceitlive.org,https://faceitlive.org,FACEit LIVE,FACEit LIVE,Medical Aesthetics,Educational conference for professionals — not a patient clinic,Not a medspa / no usable data,,1,1780
faithfamhealth.com,https://faithfamhealth.com,Faith Family Health,"Faith Family Health -Mercer St, Princeton",Medical Aesthetics,Duplicate of: Faith Family Health,Alternate domain of a clinic already in the DB,,1,5589
fsdpa.org,https://fsdpa.org,Florida Society of Dermatology PAs,Florida Society of Dermatology PAs,Medical Aesthetics,Professional association for dermatology PAs — not a patient clinic,Not a medspa / no usable data,,1,868
g99.com,https://g99.com,Hemphill,Hemphill,Medical Aesthetics,Duplicate of: Hemphill,Alternate domain of a clinic already in the DB,,1,2552
glamournailsandspa.com,https://glamournailsandspa.com,Glamour Nails,Glamour Nails,Medical Aesthetics,Duplicate of: Glamour Nails,Alternate domain of a clinic already in the DB,,1,1665
healthandwellnessmedicalservices.com,https://healthandwellnessmedicalservices.com,Health and Wellness Medical Services,Health and Wellness Medical Services,Medical Aesthetics,Duplicate of: Health and Wellness Medical Services,Alternate domain of a clinic already in the DB,,1,549
highlandshealthandwellness.com,https://highlandshealthandwellness.com,Highlands Health and Wellness,Highlands Health and Wellness Center,Medical Aesthetics,Duplicate of: Highlands Health and Wellness,Alternate domain of a clinic already in the DB,,1,6056
hudson-pt.com,https://hudson-pt.com,Hudson Premier PT & Sports,Hudson Premier PT & Sports - Hoboken,Medical Aesthetics,Physical therapy clinic — not a medspa,Not a medspa / no usable data,,3,"2916, 3213, 3214"
instituteforpainrelief.com,https://instituteforpainrelief.com,Institute for Pain Relief,Institute for Pain Relief,Medical Aesthetics,Orthopedic pain-management clinic — not a medspa,Not a medspa / no usable data,,1,6840
integrityfootandankle.com,https://integrityfootandankle.com,Integrity Foot and Ankle,Integrity Foot and Ankle - Lorain,Medical Aesthetics,Duplicate of: Integrity Foot and Ankle,Alternate domain of a clinic already in the DB,,2,"2091, 4332"
jimenezgastro.com,https://jimenezgastro.com,"Arnaldo Jimenez, MD PC","Arnaldo Jimenez, MD PC - Alpharetta",Medical Aesthetics,Gastroenterology practice — not a medspa/aesthetics clinic,Not a medspa / no usable data,,2,"5503, 5847"
jumpstartmedical.care,https://jumpstartmedical.care,JumpStart Medical,JumpStart Medical,Medical Aesthetics,Primary/urgent care clinic — no medspa/aesthetic/injectable services,Not a medspa / no usable data,,1,2718
lavidaai.com,https://lavidaai.com,La Vida Laser & Aesthetics,La Vida Laser & Aesthetics,Medical Aesthetics,Aesthetics training institute/school — not a patient-facing clinic,Not a medspa / no usable data,,1,1743
lumify.com,https://lumify.com,Lumify Aesthetics & Medspa,Lumify Aesthetics & Medspa,Medical Aesthetics,Education & training platform (LMS) — not a clinic,Not a medspa / no usable data,,1,1979
lushaestheticswellness.com,https://lushaestheticswellness.com,Lush Aesthetics & Wellness,Lush Aesthetics & Wellness,Medical Aesthetics,Duplicate of: Lush Aesthetics & Wellness,Alternate domain of a clinic already in the DB,,1,4978
maisondezenbk.com,https://maisondezenbk.com,Maison De Zen,Maison De Zen,Medical Aesthetics,Empty site — no content to extract,Not a medspa / no usable data,,1,4499
mandalynacademy.com,https://mandalynacademy.com,Mandalyn Academy,Mandalyn Academy,Medical Aesthetics,Duplicate of: Mandalyn Academy,Alternate domain of a clinic already in the DB,,1,1855
mattslocalpharmacy.com,https://mattslocalpharmacy.com,Matt's Local Pharmacy,Matt's Local Pharmacy,Medical Aesthetics,Retail pharmacy — not a medspa/aesthetics clinic,Not a medspa / no usable data,,1,4810
mavenaesthetics.com,https://mavenaesthetics.com,"Maven Aesthetics, LLC","Maven Aesthetics, LLC",Medical Aesthetics,"Duplicate of: Maven Aesthetics, LLC",Alternate domain of a clinic already in the DB,,1,8259
medspabroomfield.com,https://medspabroomfield.com,The Natural Place Med Spa S-Corp,The Natural Place Med Spa S-Corp - Broomfield I,Medical Aesthetics,Website returned no usable content (empty/placeholder) — could not verify or extract,Not a medspa / no usable data,,2,"4392, 4396"
microscalpclinic.com,https://microscalpclinic.com,Micro Scalp Clinic,Micro Scalp Clinic,Medical Aesthetics,Duplicate of: Micro Scalp Clinic,Alternate domain of a clinic already in the DB,,1,1597
neosaestheticacademy.com,https://neosaestheticacademy.com,Neos Aesthetic Academy,Neos Aesthetic Academy,Medical Aesthetics,Duplicate of: Neos Aesthetic Academy,Alternate domain of a clinic already in the DB,,1,474
niloura.com,https://niloura.com,Niloura Wellness & Aesthetics Clinic,Niloura Wellness & Aesthetics Clinic,Medical Aesthetics,"Minimal placeholder site — no services, providers, or contact to add",Not a medspa / no usable data,,1,8919
nursemarni.com,https://nursemarni.com,Longevity Lab & Aesthetics,Longevity Lab & Aesthetics,Medical Aesthetics,Duplicate of: Longevity Lab & Aesthetics,Alternate domain of a clinic already in the DB,,1,6643
ocveins.com,https://ocveins.com,OC Cosmetic and Vein Center,OC Cosmetic and Vein Center,Medical Aesthetics,Duplicate of: OC Cosmetic and Vein Center,Alternate domain of a clinic already in the DB,,1,546
orthoifyortho.com,https://orthoifyortho.com,Eildar Abyar MD - Orthoify Orthopedics,Eildar Abyar MD - Orthoify Orthopedics,Medical Aesthetics,Duplicate of: Eildar Abyar MD - Orthoify Orthopedics,Alternate domain of a clinic already in the DB,,1,5832
ovillamed.com,https://ovillamed.com,Ovilla Medical & Wellness,Ovilla Medical & Wellness,Medical Aesthetics,Duplicate of: Ovilla Medical & Wellness,Alternate domain of a clinic already in the DB,,1,5917
pacific-obgyn.com,https://pacific-obgyn.com,Pacific Obstetrics and Gynecology,Pacific Obstetrics and Gynecology - Newport Beach,Medical Aesthetics,Duplicate of: Pacific Obstetrics and Gynecology,Alternate domain of a clinic already in the DB,,1,4476
paramountspecialtytraining.com,https://paramountspecialtytraining.com,Paramount Specialty Training,Paramount Specialty Training,Medical Aesthetics,Training institute/education center — not a patient clinic,Not a medspa / no usable data,,1,637
poonamedicalspa.com,https://poonamedicalspa.com,Poonam Medical spa,Poonam Medical spa,Medical Aesthetics,Duplicate of: Poonam Medical spa,Alternate domain of a clinic already in the DB,,1,4796
ravaaesthetics.com,https://ravaaesthetics.com,RAVA Medical,Renu Aesthetics,Medical Aesthetics,Duplicate of: RAVA Medical,Alternate domain of a clinic already in the DB,,1,4301
ravissantehealth.com,https://ravissantehealth.com,Ravissante Health and Wellness (RHW),Ravissante Health and Wellness (RHW),Medical Aesthetics,Weight-loss & hormone-replacement clinic — no aesthetic services,Not a medspa / no usable data,,1,5177
reclaimmensclinic.com,https://reclaimmensclinic.com,Reclaim Med Spa and Wellness,Reclaim Med Spa and Wellness,Medical Aesthetics,Duplicate of: Reclaim Med Spa and Wellness,Alternate domain of a clinic already in the DB,,1,1762
reevaspa.com,https://reevaspa.com,Reeva Spa & IV Drip,Reeva Spa & IV Drip,Medical Aesthetics,Duplicate of: Reeva Spa & IV Drip,Alternate domain of a clinic already in the DB,,1,1365
reshapehealthclinic.com,https://reshapehealthclinic.com,ReShape Health Clinic PLLC.,ReShape Health Clinic PLLC.,Medical Aesthetics,"Primary-care clinic (hormones, weight loss, physicals) — not aesthetics",Not a medspa / no usable data,,1,6015
reviveketaminecenters.com,https://reviveketaminecenters.com,Revive Ketamine Centers,Revive Ketamine Centers,Medical Aesthetics,Duplicate of: Revive Ketamine Centers,Alternate domain of a clinic already in the DB,,1,4470
rockymountainsnowmobile.com,https://rockymountainsnowmobile.com,Rocky Mountain Snowmobile,Rocky Mountain Snowmobile,Medical Aesthetics,Duplicate of: Rocky Mountain Snowmobile,Alternate domain of a clinic already in the DB,,1,717
rumaacademy.com,https://rumaacademy.com,RUMA Academy,RUMA Academy,Medical Aesthetics,Duplicate of: RUMA Academy,Alternate domain of a clinic already in the DB,,1,265
saiassethics.com,https://saiassethics.com,Deep Testing Clinic ,Deep Testing Clinic,Medical Aesthetics,Duplicate of: Deep Testing Clinic,Alternate domain of a clinic already in the DB,,1,504
santosh.yoga,https://santosh.yoga,Santosh Yoga Institute,Santosh Yoga Institute,Medical Aesthetics,Duplicate of: Santosh Yoga Institute,Alternate domain of a clinic already in the DB,,1,140
self-aesthetics.com,https://self-aesthetics.com,"Self Aesthetics, PLLC","Self Aesthetics, PLLC",Medical Aesthetics,"Duplicate of: Self Aesthetics, PLLC",Alternate domain of a clinic already in the DB,,1,179
skinandaura.com,https://skinandaura.com,Skin & Aura Medical Aesthetics,Skin & Aura Medical Aesthetics,Medical Aesthetics,"""Coming Soon"" placeholder site — no services or contact to add",Not a medspa / no usable data,,1,5587
skinhavenclinic.co,https://skinhavenclinic.co,Skin Haven Cosmetic Clinic,Skin Haven Cosmetic Clinic,Medical Aesthetics,Duplicate of: Skin Haven Cosmetic Clinic,Alternate domain of a clinic already in the DB,,1,2498
slsaesthetics.com,https://slsaesthetics.com,SLS Aesthetics,SLS Aesthetics,Medical Aesthetics,Duplicate of: SLS Aesthetics,Alternate domain of a clinic already in the DB,,1,2286
smilevirtual.com,https://smilevirtual.com,Smile Virtual,Smile Virtual,Medical Aesthetics,Duplicate of: Smile Virtual,Alternate domain of a clinic already in the DB,,1,1765
southernazlaw.com,https://southernazlaw.com,Southern Arizona Law,Southern Arizona Law,Medical Aesthetics,Duplicate of: Southern Arizona Law,Alternate domain of a clinic already in the DB,,1,1781
suite101medicalspa.com,https://suite101medicalspa.com,Suite 101 Medical Spa,Suite 101 Medical Spa,Medical Aesthetics,Duplicate of: Suite 101 Medical Spa,Alternate domain of a clinic already in the DB,,1,4989
syringescience.com,https://syringescience.com,Syringe Science Aesthetic Training ,Syringe Science,Medical Aesthetics,Aesthetic-provider training academy — not a patient clinic,Not a medspa / no usable data,,1,4893
texasveinandvascular.com,https://texasveinandvascular.com,Texas Vein and Vascular,Texas Vein and Vascular,Medical Aesthetics,Duplicate of: Texas Vein and Vascular,Alternate domain of a clinic already in the DB,,1,4786
thebeautypa.com,https://thebeautypa.com,Aere Aesthetics,Aere Aesthetic,Medical Aesthetics,Duplicate of: Aere Aesthetics,Alternate domain of a clinic already in the DB,,2,"105, 1962"
thedermcollectivenorthshore.com,https://thedermcollectivenorthshore.com,Derm Collective North Shore,Derm Collective North Shore,Medical Aesthetics,Duplicate of: Derm Collective North Shore,Alternate domain of a clinic already in the DB,,1,4851
thespa.aestique.com,https://thespa.aestique.com,Aestique Medispa,Aestique Medispa- Wexford,Medical Aesthetics,"Duplicate of: aestiquemedispa.com — Aestique Medispa (G99 row said Wexford; the site lists that branch at 101 Fowler Road, Warrendale, PA 15086, which is the location we hold)",Alternate domain of a clinic already in the DB,aestique-plastic-surgery,2,"1963, 3211"
thewinnerschool.com,https://thewinnerschool.com,The Winner School,The Winner School,Medical Aesthetics,Duplicate of: The Winner School,Alternate domain of a clinic already in the DB,,1,716
timelessmedspa.com,https://timelessmedspa.com, Timeless Skin and Wellness,North Logan,Medical Aesthetics,Duplicate of: timelessut.com — Timeless Skin and Wellness (G99 row said North Logan; that location is present),Alternate domain of a clinic already in the DB,,1,4505
totalmskcare.com,https://totalmskcare.com,Total Musculoskeletal Care,Total Musculoskeletal Care,Medical Aesthetics,Duplicate of: Total Musculoskeletal Care,Alternate domain of a clinic already in the DB,,1,7404
trinitylongevitycenters.com,https://trinitylongevitycenters.com,Trinity Longevity Center for Wellness and Medical Aesthetics,Trinity Longevity Center for Wellness and Medical Aesthetics,Medical Aesthetics,"""Coming Soon"" site — no services or content to add",Not a medspa / no usable data,,1,7929
utahtitle.com,https://utahtitle.com,Title Guarantee,Title Guarantee - Fort Union,Medical Aesthetics,"Title/escrow company — mislabeled in source list, not a medspa",Not a medspa / no usable data,,1,724
vanityskinaesthetic.com,https://vanityskinaesthetic.com,"Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge","Vanity Skincare & Aesthetics, LLC- DBA Vanity Aesthetics Lounge",Medical Aesthetics,Website returned almost no content — insufficient data to add,Not a medspa / no usable data,,1,612
wellnesslifezone.com,https://wellnesslifezone.com,Wellness Lifezone,Wellness Lifezone,Medical Aesthetics,Foot-zone-technique training academy/school — not a clinic,Not a medspa / no usable data,,1,723
yourrenaissancemedspa.com,https://yourrenaissancemedspa.com,Peninsula Plastic Surgery,Renaissance Med Spa Salisbury,Medical Aesthetics,"Duplicate of: penplasticsurgery.com — Peninsula Plastic Surgery (redirects to the /renaissance-medical-spa/ page on the parent site; G99 row said Renaissance Med Spa Salisbury, and the Salisbury, MD location is present)",Alternate domain of a clinic already in the DB,,3,"4659, 4660, 4661"
zenithwellness.org,https://zenithwellness.org,Zenith Wellness,Zenith Wellness,Medical Aesthetics,"Functional-medicine / longevity clinic (genetics, hormones, mental health) — no aesthetic or injectable services",Not a medspa / no usable data,,1,5381
